relative_time,AccX,AccY,AccZ
104528,,1.8667007684707642,12.138191223144531
104529,-3.1100711822509766,,
104597,,,15.204593658447266
104598,-2.7825536727905273,-0.8431708812713623,
104662,,,10.720743179321289
104663,,0.6702894568443298,
104664,-3.6074793338775635,,
104730,-3.25872540473938,1.4006985425949097,7.827820301055908
104800,-1.2272188663482666,0.6843472719192505,7.428218841552734
104869,,0.7336992621421814,7.10638427734375
104870,-0.9891330599784851,,
104934,-1.6657036542892456,1.3986048698425293,7.872386455535889
105001,,2.4023938179016113,10.306784629821777
105002,-2.270190477371216,,
105068,-2.96321177482605,1.7494524717330933,17.759828567504883
105135,,,16.106687545776367
105136,-2.898306369781494,1.319043517112732,
105202,,,9.844670295715332
105203,-1.542473316192627,1.599302887916565,
105270,-2.033600091934204,0.7510471940040588,11.101202011108398
105336,,,8.530712127685547
105337,-1.7805591821670532,0.00867398176342249,
105405,-1.521835207939148,0.49680981040000916,4.604089736938477
105471,-1.633699655532837,1.7925232648849487,4.320540428161621
105541,-1.3399807214736938,3.2006993293762207,6.419045925140381
105607,-1.139880895614624,4.923232555389404,8.148458480834961
105675,-5.100002288818359,3.6873397827148438,13.796117782592773
105742,,,14.510076522827148
105743,-2.963510751724243,0.5069792866706848,
105808,,0.9568299651145935,7.600203037261963
105809,-3.0637102127075195,,
105876,,,5.082355499267578
105877,-1.8352949619293213,1.0166505575180054,
105944,-0.7722834944725037,0.9385846853256226,5.394917964935303
106010,-1.2218350172042847,1.3624134063720703,7.800900936126709
106080,-1.2756736278533936,1.9244276285171509,10.77248764038086
106146,-1.2780663967132568,2.5516462326049805,15.075081825256348
106213,-2.300100803375244,1.4886348247528076,19.214664459228516
106281,,0.7773682475090027,14.21695613861084
106282,-1.205384373664856,,
106348,,1.1353943347930908,10.059426307678223
106349,-0.7666005492210388,,
106416,-1.2837493419647217,-0.3732803463935852,10.21585750579834
106483,,-0.5967101454734802,6.474080562591553
106484,-0.5991029739379883,,
106549,-0.2593221664428711,0.6224330067634583,3.894019842147827
106622,-0.33409786224365234,1.074975609779358,4.802694320678711
106684,-0.3849453330039978,0.9927222728729248,5.59890604019165
106756,-2.168794631958008,1.1694921255111694,8.734101295471191
106823,-5.158327579498291,-0.5006981492042542,15.709179878234863
