departamento,municipio,tiempo_establecimiento,topografia,drenaje,riego,fertilizacion,pH,materia_organica,fosforo,azufre,acidez,aluminio,calcio,magnesio,potasio,sodio,CICE,conductividad,hierro,cobre,manganeso,zinc,boro
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.64,5.709014404241518,3.87,15.445544554455449,0.9524768694436375,0.6920717416751005,4.67694421,1.48372188,0.289161252,0.14,7.542304211443637,1.3854647999999998,306.394,7.237,22.433999999999997,1.758,0.050890585241730284
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.35,3.737006169378718,3.87,23.11881188118812,0.3379756633509681,0.07021017669167688,0.59,0.2,0.09,0.14,1.357975663350968,0.174372,173.734,1.5090000000000001,1.2640000000000002,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.81,2.245358914803012,3.87,36.38613861386138,1.2085190386489164,0.9127322969917994,0.59,0.2,0.09,0.14,2.2285190386489164,0.1167764,212.59700000000004,3.512,1,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.88,6.695018521672919,3.87,14.207920792079207,0.1126585544503227,0,0.59,0.2,0.10617771599999999,0.14,1.1488362704503228,0.31386959999999997,75.463,1.3739999999999999,1.1360000000000001,1,0.17811704834605596
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.930000000000001,5.051678325953918,3.87,19.15841584158416,0.2765255427417012,0.080240201933345,0.59,0.2,0.09548679599999998,0.14,1.3020123387417013,0.2161156,205.733,1.472,1.1219999999999999,1,0.19932145886344357
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.92,4.4954708750951795,3.87,5.297029702970297,0.4711175913377132,0.27081068152503934,0.59,0.2,0.11107303199999999,0.14,1.512190623337713,0.18599680000000002,155.617,1.085,1,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.49,3.661159698807073,3.87,30.049504950495056,0.5530510854834023,0.2908707320083756,0.59,0.2,0.10724680799999999,0.14,1.5902978934834024,0.3254944,188.474,4.3180000000000005,1.879,1,0.0720949957591179
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.3,1.486894209086551,4.081041214750542,12.970297029702971,2.1302708477879206,1.6850442406002448,0.64896869,0.2,0.09,0.14,3.209239537787921,0.35772679999999996,151.03,1.595,1.221,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.46,5.178089110239995,3.87,16.930693069306933,0.10241686768211156,0,0.59,0.2,0.09,0.14,1.1224168676821114,0.1986784,66.178,1,1,1,0.050890585241730284
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.37,3.610595385092642,6.669761388286333,14.950495049504951,0.2867672295099124,0.080240201933345,1.6037025300000003,0.6428375300000001,0.09,0.14,2.763307289509913,0.23513799999999999,214.13700000000003,4.708,2.6029999999999998,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.92,2.0178195030880737,3.87,15.1980198019802,2.0073706065693866,1.4142335590752055,1.5710949000000003,0.8834264,0.09621828,0.14,4.698110186569387,0.2700124,215.00599999999997,6.837,26.922,1.221,0.0720949957591179
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.430000000000001,3.2819273459488425,8.040260303687633,16.18811881188119,0.2867672295099124,0.1203603029000175,6.0812681,1.5659095,0.20875428,0.14,8.282699109509913,0.6885051999999999,85.754,3.809,6.468,1.3239999999999998,0.0720949957591179
