NoBloc,NoTraitement,test_type,NtotDose,PtotDose,KtotDose,NsemisDose,NfracDose,LatDD,LonDD,Annee,DatePlantation,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,pH1dans1,MOsol,CaSol,MgSol,Ksol,CuSol,ZnSol,FeSol,MnSol,AlSol,Psol,Texture,ArgileMesure,SableMesure,LimonCentroid,Yield
1,5,N,160,190,270,160,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,43.3070625
1,6,N,190,190,270,160,30,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,54.5749375
1,7,N,220,190,270,160,60,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,58.3081875
1,8,N,250,190,270,160,90,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,60.713
1,9,N,190,190,270,190,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,61.898375
1,10,N,220,190,270,220,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,57.2999375
1,11,N,250,190,270,250,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.56,3.144,308.1570997,46.22356495,193.4138973,1.540785498,1.450151057,151.0876133,5.709969789,1784.138973,53.17006042,Loam sableux,5.2,51.4,25,62.470625
2,1,N,0,190,270,0,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,46.093375
2,2,N,70,190,270,70,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,36.8965
2,3,N,100,190,270,100,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,44.55375
2,4,N,130,190,270,130,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,36.733
2,5,N,160,190,270,160,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,44.948875
2,6,N,190,190,270,160,30,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,48.25975
2,7,N,220,190,270,160,60,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,45.112375
2,8,N,250,190,270,160,90,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,50.044625
2,9,N,190,190,270,190,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,55.658125
2,10,N,220,190,270,220,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,52.7355625
2,11,N,250,190,270,250,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.585,3.393,175.3846154,17.53846154,249.6,1.846153846,1.2,141.8769231,5.446153846,1775.815385,64.42453846,Loam sableux,5.2,51.4,25,43.668125
3,1,N,0,190,270,0,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,40.915875
3,2,N,70,190,270,70,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,38.4225
3,3,N,100,190,270,100,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,46.6724375
3,4,N,130,190,270,130,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,54.69075
3,5,N,160,190,270,160,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,45.3644375
3,6,N,190,190,270,160,30,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,46.1274375
3,7,N,220,190,270,160,60,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,47.71475
3,8,N,250,190,270,160,90,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,46.393125
3,9,N,190,190,270,190,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,44.0564375
3,10,N,220,190,270,220,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,61.50325
3,11,N,250,190,270,250,0,46.764444,-72.330833,2004,2004-05-30,31226,HRC,Goldrush,mid-season,4.535,3.274,175.7009346,26.1682243,234.8598131,1.682242991,1.401869159,126.4485981,4.76635514,1842.616822,66.71317757,Loam sableux,5.2,51.4,25,55.29025
1,1,N,0,180,160,0,0,48.797222,-72.2425,2004,2004-05-31,47517,Grassland,Bijou Rouge,early,5.1,2.427,544.2223554,37.0239725,66.03877419,0.710723962,1.714087419,74.71759595,5.69906035,1480.660179,43.03611924,Loam sableux,3,60.5,25,20.2342047
1,2,N,35,180,160,35,0,48.797222,-72.2425,2004,2004-05-31,47517,Grassland,Bijou Rouge,early,5.1,2.427,544.2223554,37.0239725,66.03877419,0.710723962,1.714087419,74.71759595,5.69906035,1480.660179,43.03611924,Loam sableux,3,60.5,25,35.01293356
1,3,N,70,180,160,70,0,48.797222,-72.2425,2004,2004-05-31,47517,Grassland,Bijou Rouge,early,5.1,2.427,544.2223554,37.0239725,66.03877419,0.710723962,1.714087419,74.71759595,5.69906035,1480.660179,43.03611924,Loam sableux,3,60.5,25,36.14700403
1,4,N,105,180,160,105,0,48.797222,-72.2425,2004,2004-05-31,47517,Grassland,Bijou Rouge,early,5.1,2.427,544.2223554,37.0239725,66.03877419,0.710723962,1.714087419,74.71759595,5.69906035,1480.660179,43.03611924,Loam sableux,3,60.5,25,42.22323423
1,5,N,140,180,160,140,0,48.797222,-72.2425,2004,2004-05-31,47517,Grassland,Bijou Rouge,early,5.1,2.427,544.2223554,37.0239725,66.03877419,0.710723962,1.714087419,74.71759595,5.69906035,1480.660179,43.03611924,Loam sableux,3,60.5,25,39.04783691
1,6,N,175,180,160,175,0,48.797222,-72.2425,2004,2004-05-31,47517,Grassland,Bijou Rouge,early,5.1,2.427,544.2223554,37.0239725,66.03877419,0.710723962,1.714087419,74.71759595,5.69906035,1480.660179,43.03611924,Loam sableux,3,60.5,25,40.40872148
