ingrediente,departamento,municipio,topografia,textura_de_suelo,epoca_recoleccion,altura_corte_cm,altura_planta_cm,edad_corte_d,proteina,ceniza,extracto_etereo,FDN,FDA,lignina,hemicelulosa,almidon,carbohidratos_noes,carbohidratos_solubles,digestibilidad_ms,energia_digestible,energia_metabolizable,energia_neta_manten,energia_neta_ganancia,energia_neta_lactancia
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,28.78,12.81,2.44,44.71,26.81,3.65,17.9,5.46,8.78,3.33,74.01,3.17,2.54,1.64,1.04,1.54
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,28.4,12.48,2.59,47.68,28.5,4.98,19.18,6.33,6.85,0.52,73.18,3.18,2.51,1.61,1.01,1.52
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,28.88,12.89,2.53,46.71,29.74,5.2,16.97,6.91,7,0.09,73.17,3.16,2.51,1.61,1.01,1.52
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,27.03,12.74,2.32,45.17,29.77,4.99,15.4,5.86,10.74,4.88,71.69,3.03,2.45,1.56,0.96,1.49
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Chocontá,Ondulada,Franco,Transición sequía a lluvia,35,57,77,28.66,12.42,2.09,48.26,27.13,4.44,21.13,6.71,6.77,0.06,73.81,3.19,2.53,1.64,1.03,1.54
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,48,112,19.84,10.78,2.54,48.88,26.3,5.49,22.58,6.04,9.21,3.16,67.05,2.74,2.26,1.39,0.81,1.38
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,48,112,22.07,11.65,2.51,51.38,27.58,5.94,23.8,6.23,9.16,2.93,68.43,2.81,2.31,1.44,0.85,1.42
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,51,112,17.89,11.29,1.91,53.34,29.47,5.98,23.87,8.21,11.07,2.86,64.5,2.68,2.15,1.29,0.72,1.33
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,23,45,112,17.68,11.76,2.05,55.84,31.69,6.03,24.15,8.02,9.54,1.52,63.64,2.64,2.12,1.26,0.69,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,48,112,16.88,11.72,1.96,54.03,32.22,6.03,21.81,7.84,10.42,2.58,62.83,2.6,2.08,1.23,0.66,1.29
