Id,Name,Value,Date
Embalse,TOPOCORO,0.19076,2024-03-30
Embalse,TRONERAS,0.43088,2024-03-30
Embalse,URRA1,0.4638,2024-03-30
Embalse,AGREGADO BOGOTA,0.54452,2024-03-31
Embalse,ALTOANCHICAYA,0.03119,2024-03-31
Embalse,AMANI,0.33034,2024-03-31
Embalse,BETANIA,0.64429,2024-03-31
Embalse,CALIMA1,0.5113,2024-03-31
Embalse,CHUZA,0.15933,2024-03-31
Embalse,EL QUIMBO,0.19402,2024-03-31
Embalse,ESMERALDA,0.17414,2024-03-31
Embalse,GUAVIO,0.05204,2024-03-31
Embalse,ITUANGO,0.15736,2024-03-31
Embalse,MIRAFLORES,0.17321,2024-03-31
Embalse,MUNA,0.64809,2024-03-31
Embalse,PENOL,0.34965,2024-03-31
Embalse,PLAYAS,0.65046,2024-03-31
Embalse,PORCE II,0.55115,2024-03-31
Embalse,PORCE III,0.44217,2024-03-31
Embalse,PRADO,0.20905,2024-03-31
Embalse,PUNCHINA,0.37637,2024-03-31
Embalse,RIOGRANDE2,0.0784,2024-03-31
Embalse,SALVAJINA,0.29297,2024-03-31
Embalse,SAN LORENZO,0.17801,2024-03-31
Embalse,TOPOCORO,0.18903,2024-03-31
Embalse,TRONERAS,0.49432,2024-03-31
Embalse,URRA1,0.45671,2024-03-31
Embalse,AGREGADO BOGOTA,0.5438,2024-04-01
Embalse,ALTOANCHICAYA,0.01185,2024-04-01
Embalse,AMANI,0.34386,2024-04-01
Embalse,BETANIA,0.63302,2024-04-01
Embalse,CALIMA1,0.5028,2024-04-01
Embalse,CHUZA,0.15643,2024-04-01
Embalse,EL QUIMBO,0.19803,2024-04-01
Embalse,ESMERALDA,0.16896,2024-04-01
Embalse,GUAVIO,0.04,2024-04-01
Embalse,ITUANGO,0.1578,2024-04-01
Embalse,MIRAFLORES,0.17401,2024-04-01
Embalse,MUNA,0.67559,2024-04-01
Embalse,PENOL,0.35289,2024-04-01
Embalse,PLAYAS,0.47172,2024-04-01
Embalse,PORCE II,0.59212,2024-04-01
Embalse,PORCE III,0.442,2024-04-01
Embalse,PRADO,0.20526,2024-04-01
Embalse,PUNCHINA,0.2969,2024-04-01
Embalse,RIOGRANDE2,0.08273,2024-04-01
Embalse,SALVAJINA,0.29796,2024-04-01
Embalse,SAN LORENZO,0.18389,2024-04-01
Embalse,TOPOCORO,0.18577,2024-04-01
Embalse,TRONERAS,0.55646,2024-04-01
Embalse,URRA1,0.44772,2024-04-01
