Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Yotoco,2015.0,585,0,0,0,96,0,0,0,0,376,52,0,0,0,0,0,0,420,20,0,0
Yumbo,2015.0,498,20,0,0,472,0,0,36,150,57,39,170,54,100,100,15,408,75,20,5,200
Zarzal,2015.0,0,0,0,0,"10,040",16,0,0,351,31,0,0,450,630,420,0,719,0,0,0,0
El Cerrito,2013.0,140,84,0,0,350,0,0,0,0,0,0,0,225,0,0,20,0,0,0,0,"1,960"
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcalá,2014.0,"31,694","61,904","4,716","19,520","58,511",545,"39,660","3,679","2,372","4,423","10,383","10,636","2,875","20,631","8,419","1,140","47,527","41,643","15,271","1,073","2,132"
Andalucia,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ansermanuevo,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argelia,2014.0,315,"1,120",0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,180,0,0,0
Bolivar,2014.0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenaventura,2014.0,"1,116",0,0,0,0,0,0,0,360,80,4,23,144,0,0,0,0,0,0,0,0
Buga,2014.0,"8,034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bugalagrande,2014.0,731,0,0,0,0,0,0,0,396,200,"2,200",0,0,"5,544","1,890",200,810,"6,000",257,203,679
Caicedonia,2014.0,0,"1,220","4,404",0,0,0,"39,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calima Darién,2014.0,105,0,0,0,100,0,0,0,0,0,8,25,50,0,0,0,90,"1,200",0,0,8
Candelaria,2014.0,0,0,0,0,0,0,0,0,99,540,0,0,0,0,0,0,0,0,0,0,0
Cartago,2014.0,"3,547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dagua,2014.0,224,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,8,0
El Aguila,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Cairo,2014.0,65,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
El Cerrito,2014.0,780,0,0,0,0,0,0,0,41,54,33,0,0,0,0,0,0,0,"7,700",0,0
El Dovio,2014.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginebra,2014.0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guacarì,2014.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
