Municipios,Año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Lulo,Mango,Maracuyá,Melón A,Melón B,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
TOTAL,2019,7937.5,408,6219.2,776,2692,6516.6,322,282,409.3,1158.5,251.8,738.5,89.3,67.8,598.8,970.3,2678.2,124.1,179.9,1895.2
Cali,2019,12,0,0,0,0,49,0,0,3,0,5,0,0,0,10,0,0,0,6,0
Alcalá,2019,141.9,0,100.2,0,0,198.3,0,0,13,8,0,5,0,0,0,6,47.8,0,0,0
Andalucia,2019,57,0,35,0,0,260,0,0,0,0,0,30,0,0,0,30,0,0,0,0
Ansermanuevo,2019,257,0,54.3,0,0,18,0,92.8,34,3.8,12,0,0,0,1.5,0,1.5,10.5,0,0
Argelia,2019,282,0,179,0,0,5,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0
Bolivar,2019,2219,0,287,0,6,73,0,19,14,305,4,52,25,27,15,62,4,13,29,39
Buenaventura,2019,0,399,115,776,2658,0,322,0,0,0,0,0,0,0,0,0,13,0,0,0
Buga,2019,2,0,126,0,0,8,0,11,0,7,1,0,0,0,12,0,35,0,3,2
Bugalagrande,2019,158,0,0,0,0,563,0,8,45,0,0,17,0,0,0,0,0,8,0,0
Caicedonia,2019,350,0,409,0,0,1950,0,0,80,0,0,0,0,0,0,0,10,0,0,0
Calima Darién,2019,79.5,0,2.5,0,0,12,0,3,0,136,0,0,0,0,12,0,0,0,0,0
Candelaria,2019,0,0,0,0,0,26.2,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Cartago,2019,21.2,0,35,0,0,210.2,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Dagua,2019,200,0,135,0,28,214,0,0,35,133,0,103,0,0,0,0,1333,21,0,0
El Aguila,2019,38,0,20,0,0,7,0,24,0,17,0,5,0,0,6,0,0,5,8,0
El Cairo,2019,624.3,0,17,0,0,11.4,0,0,0,6.2,0,2,0,0,0,0,0,0,0,0
El Cerrito,2019,48,0,18,0,0,24,0,0,0,0,0,40,0,0,2,0,0,0,5.5,264
El Dovio,2019,124,0,45,0,0,0,0,22.5,0,70.8,0,55,0,0,0,0,0,6,0,0
Florida,2019,11,0,138,0,0,111,0,21,5,0,6.5,8,0,0,67,11,95.5,1,4.5,0
Ginebra,2019,0,0,167,0,0,0,0,11,0,4,0,6,0,0,92,8,0,0,0,146
Guacarì,2019,58,0,239,0,0,74,0,0,29,43,0,88,0,0,41,462,0,0,44,228
Jamundì,2019,5.5,0,5.5,0,0,443,0,0,4,4,19,18.5,0,0,3,2.5,36,0,1,0
La Cumbre,2019,0,0,67.7,0,0,0,0,10.2,0,19.4,0,0,0,0,0,6.1,168.9,0,0,0
La Uniòn,2019,47.6,0,39,0,0,44,0,0,7.3,7.8,31,23.3,21,2,0,71.4,5.2,5.9,0,609.5
La Victoria,2019,12,0,27,0,0,130,0,0,4,0,41,22,0,0,0,2,0,0,0,6
Obando,2019,44,0,468,0,0,22,0,0,16,0,20,0,0,0,0,8,0,0,0,0
Palmira,2019,184,0,112,0,0,77,0,8,0,7.5,0,13.8,0,0,1.1,0,0,0,2.4,2
Pradera,2019,44,0,30,0,0,25,0,0,30,0,0,0,0,0,27,0,20,0,5,0
Restrepo,2019,72.2,9,75,0,0,19,0,2,0,115,0,15,0,0,2,0,470,10,1,0
Riofrìo,2019,70,0,552,0,0,47,0,0,5,38,9,12,0,0,0,0,16,7,0,0
Roldanillo,2019,241,0,104,0,0,34,0,6,15.3,12,0,54.3,15.3,10.8,5,55.3,0,9,0,92.7
San Pedro,2019,29,0,71,0,0,115,0,16,22,29.5,7,38,0,0,36,55,0,0,32.5,0
Sevilla,2019,864,0,1100,0,0,1308,0,0,0,0,0,0,0,0,40,0,0,0,0,0
Toro,2019,80,0,5,0,0,6,0,4,12,10,0,15,28,28,0,41,11,0,0,300
Trujillo,2019,215.5,0,637.5,0,0,27,0,0,3.5,13,11,12,0,0,47.8,15.5,0,19.2,0,5.5
Tuluà,2019,42,0,536,0,0,51,0,13,0,112,0,9,0,0,121.5,28,0,0,38,0
Ulloa,2019,109,0,123.8,0,0,107.6,0,0,0,6,0,7.6,0,0,0,6.9,21.3,0,0,0
Versalles,2019,1100,0,91,0,0,0,0,8.3,0,35,0,7,0,0,55.6,0,0,4.5,0,0
Vijes,2019,35,0,38,0,0,48,0,0,0,0,15,41,0,0,0,46,361,0,0,0
Yotoco,2019,35,0,0,0,0,39.6,0,0,0,5,20,7,0,0,0,10,26,3,0,20.5
Yumbo,2019,24.8,0,14.6,0,0,69.5,0,2.2,7.4,0,35,3,0,0,1.3,22.6,3,1,0,173
Zarzal,2019,0,0,0,0,0,89.8,0,0,9.8,0,15.3,16,0,0,0,21,0,0,0,7
