Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Tuluà,2014,8,9,,,12,,,8,8,,3,4,,,,4,70,,,10,10
Ulloa,2014,15,40,23,,19,,,,,,,,,,,,,18,,,
Versalles,2014,2,5,,,,,,14,,,28.2,,20,,,8,,,8,,
Vijes,2014,10,10,,,10,,,,,,,5,,,,,28,60,,,
Yotoco,2014,16,,,,3.5,,,,,20,12,,,,,,,80,5,,
Yumbo,2014,11.4,4,,,13,,,9,6,9,5,5.4,16,20,40,3.5,68,38,4,5.5,10
Zarzal,2014,,,,,38,8,,,19.5,5.6,,,10,15,15,,25,,,,
Cali,2013,7,0,0,0,11,0,0,0,0,15,1.5,0,0,0,0,5.5,0,0,0,5.5,0
Alcalá,2013,6,7,0,0,8,0,0,0,0,0,8,0,0,0,0,0,80,90,0,0,0
Andalucia,2013,10,0,0,0,30.16,0,0,0,0,0,0,0,35,0,0,0,16.8,0,0,0,0
Ansermanuevo,2013,5,15,0,0,12,0,0,8,10,8,8,5,12,0,0,3.5,0,0,6,0,0
Argelia,2013,52.5,30,0,0,4,0,0,0,0,0,2.8,0,0,0,0,4,0,0,0,0,0
Bolivar,2013,5,17,0,0,20,8,0,15,9,10,5,0,14,42,42,5,27,80,4.5,7,15.8
Buenaventura,2013,0,13,10,12,0,14,12,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0
Calima Darién,2010,15,,,,,,,9,,10,10,,,,,6,,,9,8,
Buga,2013,5,10,0,0,4,0,0,5,0,0,3,2,10,0,0,3,12,80,0,6,2.5
Bugalagrande,2013,10,0,0,0,28,0,0,7,11,12,0,0,14,0,0,0,0,0,12,0,0
Caicedonia,2013,12,13.4,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,50,0,0,0
Calima Darién,2013,15,7,0,0,0,0,0,9,0,10,16,0,0,0,0,6,0,0,9,8,0
Candelaria,2013,0,0,0,0,25,0,0,0,0,33.4,0,0,40,0,0,0,0,0,0,0,0
Cartago,2013,13,9,0,0,18.11,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0
Dagua,2013,13,12,0,0,24,12,0,9,9,9,6.5,0,19,0,0,0,0,60,7,0,0
El Aguila,2013,9,6,0,0,0,0,0,8,0,0,9,0,0,0,0,8,0,0,0,12,0
El Cairo,2013,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,7,0,0,0,0,0
El Cerrito,2013,7,6,0,0,14,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,7
El Dovio,2013,8,15,0,0,0,0,0,5,0,0,25,0,5,0,0,0,0,0,4,0,0
Florida,2013,18,20,0,0,30,0,0,8,24,10,0,16,20,0,0,9,30,70,0,12,0
Ginebra,2013,0,10,0,0,15,0,0,9.7,0,0,4.5,0,20,0,0,2,30,0,0,0,10
Guacarì,2013,10,7,0,0,10,0,0,0,10,0,7,0,12,0,0,0,60,0,0,7,20
Jamundì,2013,8,10,0,0,14,0,0,0,6,7,21,20,20,0,0,8.5,30,50,0,10,0
La Cumbre,2013,0,5.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,75,0,0,0
La Uniòn,2013,20,9.3,0,0,50,0,0,0,2.1,12,25,0,11,26.95,26.93,0,75,0,0,0,11
La Victoria,2013,10,10,0,0,18.63,0,0,0,0,18,0,6,16,0,0,0,67,0,0,0,9
Obando,2013,9.58,22.14,0,0,17.5,0,0,0,0,0,0,5,15.8,0,0,0,110,0,0,0,0
Palmira,2013,10,11,0,0,20,0,0,0,0,11,7,0,24,0,20,5,0,0,0,0,16
Pradera,2013,10,6,0,0,13,0,0,0,10,0,3,0,0,0,0,4,0,0,0,6,0
Restrepo,2013,8.5,9.42,8,0,12,0,0,8,0,8,15,0,12,0,0,8,0,60,8,18,0
Riofrìo,2013,10,32.46,0,0,35,0,0,0,22,8,7.6,5,5,0,0,6,0,50,25,0,6
Roldanillo,2013,10,25,0,0,25,0,0,8,7,12,10,0,35,35,35,3,120,110,11,0,15
San Pedro,2013,9.2,7,0,0,14,0,0,15,8.5,0,4.1,15,14,0,0,7,30,0,0,7,0
